0,11,1
0,3,2
0,3,3
0,3,4
0,3,5
0,3,6
0,3,7
0,3,8
7,7,9
0,3,10
6,8,11
0,3,12
0,2,13
0,2,14
0,3,15
5,8,16
6,8,17
0,3,18
0,3,19
6,7,20
6,8,21
0,4,22
0,3,23
0,3,24
0,3,25
0,3,26
0,3,27
6,8,28
6,8,29
6,8,30
5,8,31
6,8,32
6,8,33
5,8,34
6,8,35
6,8,36
6,8,37
5,8,38
6,8,39
6,8,40
0,2,41
0,3,42
0,3,43
0,3,44
0,3,45
6,7,46
6,8,47
0,3,48
5,8,49
0,3,50
0,3,51
0,3,52
0,2,53
0,3,54
7,7,55
0,3,56
0,3,57
0,3,58
0,3,59
6,8,60
6,8,61
0,3,62
0,3,63
0,3,64
0,3,65
0,2,66
6,8,67
6,8,68
6,8,69
6,8,70
6,8,71
5,8,72
6,8,73
6,8,74
6,8,75
0,3,76
6,8,77
6,8,78
0,2,79
0,2,80
0,3,81
0,3,82
6,8,83
6,8,84
0,3,85
0,3,86
0,2,87
0,3,88
5,7,89
6,8,90
0,3,91
6,8,92
5,8,93
0,3,94
5,8,95
6,8,96
5,8,97
6,8,98
0,3,99
6,8,100
7,9,101
0,3,102
6,8,103
6,9,104
6,8,105
6,8,106
6,8,107
6,8,108
6,8,109
0,3,110
6,8,111
7,9,112
0,3,113
0,2,114
0,2,115
0,3,116
1,3,117
0,2,118
0,3,119
0,3,120
6,8,121
6,8,122
0,2,123
0,2,124
0,3,125
0,2,126
0,3,127
0,3,128
0,3,129
0,3,130
0,3,131
1,3,132
5,8,133
6,8,134
6,8,135
5,8,136
6,8,137
7,9,138
6,9,139
7,9,140
6,8,141
6,9,142
6,9,143
5,8,144
7,9,145
0,3,146
1,2,147
0,3,148
0,3,149
0,3,150
0,3,151
0,3,152
0,3,153
0,3,154
6,8,155
6,8,156
0,3,157
6,8,158
6,8,159
0,3,160
0,3,161
0,3,162
6,8,163
6,8,164
7,9,165
6,8,166
7,8,167
6,8,168
0,2,169
6,8,170
0,2,171
6,8,172
6,8,173
6,8,174
5,8,175
6,8,176
0,3,177
0,3,178
0,3,179
6,8,180
6,8,181
6,9,182
5,8,183
6,8,184
6,8,185
6,8,186
5,8,187
6,8,188
6,9,189
5,8,190
6,8,191
0,3,192
1,3,193
0,3,194
0,3,195
0,3,196
0,3,197
6,8,198
0,3,199
6,8,200
0,3,201
0,3,202
0,3,203
5,8,204
0,3,205
0,3,206
0,3,207
6,9,208
6,8,209
6,7,210
6,8,211
6,8,212
6,8,213
6,8,214
6,8,215
7,9,216
6,8,217
6,8,218
6,8,219
6,8,220
6,8,221
6,8,222
0,3,223
6,8,224
6,8,225
5,8,226
6,8,227
7,9,228
6,8,229
6,8,230
7,9,231
6,8,232
6,8,233
7,9,234
6,8,235
7,9,236
0,3,237
7,9,238
7,9,239
6,8,240
1,3,241
4,0,242
6,0,243
6,0,244
6,0,245
6,0,246
6,0,247
6,0,248
